,weight
113,3283768.98318642
114,154846.49604704272
115,17366112.898453537
116,870636101.2640021
117,4464.938813881629
118,791932.8020730218
119,59822.57603161314
120,4302.132261637048
121,10.907127429696725
122,1497.5522569493528
123,6202315.5634825295
124,1316123.5125957336
125,73468646.41915035
126,5260472.192124428
127,668588760.038906
128,523860.0933617287
129,19580041.695081193
130,115.9518779113822
131,6514.5277816807575
132,15636.399230015366
133,3112.0369088009475
134,4589639949.004725
135,603771652.07902
136,6917.214640377731
137,15254.477350244708
138,71717.27224202272
139,87154.71130530395
140,185349.536152288
141,13466675.138311703
142,75195.52074239709
143,5305578.783113414
144,102949.24954297097
145,489612943.41116375
146,70649.6274835938
147,13194211.860728046
148,7573.801460360574
149,342874611.6125706
150,124465484.17069733
151,122.32046891515742
152,3742.786751463409
153,246942.92369008245
154,58682.19544796912
155,487313311.8546015
156,49764.28715445808
157,3573.5809919177545
158,50097.39950628667
159,1727635.8525890564
160,8307139.665051108
161,3231.171562541301
162,22887.539563286344
163,9501302362.100681
164,2985049096.1702137
165,2308.3916355268398
166,67638.56606552804
167,325691.4420442332
168,7895.615600394589
169,8038100.380648268
170,4042.9249881854307
171,2376.0299237224804
172,28358741592.745346
173,4159.596964303167
174,88988240.91136946
175,27494.939100929372
176,755.3800093811794
177,1056082.1783608291
178,1347.2736038884996
179,78378609.16139461
180,626.7115634287343
181,13808.573112383905
182,1387445907.4870777
183,5428.616576880471
184,104718.62821748323
185,2466870.029407153
186,55942.294093706005
187,9220475713.318216
188,3760690.0104436977
189,337465.1362756861
190,716625.094991638
191,2277275952989.116
192,95233.23620882997
193,200720.6279196995
194,52511.6054884744
195,136.73919930112675
196,339200.0488650269
197,1870492.166085418
198,19049199.55304896
199,32124.453138615634
200,16787836.342857942
201,2130805.1409529704
202,405708.94928409136
203,112148175.14264591
204,6641.561484993678
205,191318.6375727808
206,281244.52594517637
207,65724.62675127698
208,362915.0934285796
209,28063.469904740316
210,1979808.5678209534
211,3605.4613988906485
212,1992745.1039060766
213,28472442.836129673
214,45962839244.35823
215,661818510.0338503
216,11480.778277485619
217,21193.59033292762
218,1186.5366514870473
219,3272952.6266668886
220,139122691.87581724
221,28121.470211455664
222,167864.43755925077
223,92041380.9204091
224,3101175.917416554
225,251051.9757178272
