iter	Passed	Remaining
713	8194	3282
714	8206	3270
715	8217	3259
716	8228	3247
717	8239	3236
718	8251	3224
719	8262	3213
720	8273	3201
721	8284	3190
722	8296	3178
723	8307	3166
724	8318	3155
725	8330	3143
726	8341	3132
727	8353	3120
728	8364	3109
729	8375	3097
730	8386	3086
731	8397	3074
732	8409	3063
733	8420	3051
734	8431	3039
735	8442	3028
736	8454	3016
737	8465	3005
738	8476	2993
739	8487	2982
740	8499	2970
741	8510	2959
742	8522	2948
743	8534	2936
744	8546	2925
745	8557	2913
746	8569	2902
747	8580	2890
748	8593	2879
749	8606	2868
750	8618	2857
751	8630	2846
752	8641	2834
753	8653	2823
754	8665	2812
755	8677	2800
756	8690	2789
757	8702	2778
758	8714	2767
759	8727	2755
760	8739	2744
761	8751	2733
762	8764	2722
763	8776	2711
764	8788	2699
765	8800	2688
766	8812	2677
767	8824	2665
768	8837	2654
769	8849	2643
770	8862	2632
771	8875	2621
772	8887	2609
773	8899	2598
774	8912	2587
775	8924	2576
776	8937	2564
777	8949	2553
778	8961	2542
779	8974	2531
780	8986	2519
781	8999	2508
782	9011	2497
783	9024	2486
784	9036	2475
785	9049	2463
786	9062	2452
787	9075	2441
788	9088	2430
789	9101	2419
790	9114	2408
791	9126	2396
792	9142	2386
793	9156	2375
794	9169	2364
795	9182	2353
796	9194	2341
797	9206	2330
798	9219	2319
799	9231	2307
800	9243	2296
801	9256	2285
802	9268	2273
803	9280	2262
804	9293	2251
805	9306	2239
806	9318	2228
807	9331	2217
808	9343	2205
809	9355	2194
810	9368	2183
811	9381	2171
812	9393	2160
813	9405	2149
814	9418	2137
815	9430	2126
816	9443	2115
817	9456	2103
818	9468	2092
819	9481	2081
820	9493	2069
821	9505	2058
822	9518	2047
823	9531	2035
824	9543	2024
825	9556	2013
826	9568	2001
827	9582	1990
828	9594	1979
829	9607	1967
830	9621	1956
831	9633	1945
832	9646	1933
833	9658	1922
834	9671	1911
835	9683	1899
836	9696	1888
837	9708	1876
838	9720	1865
839	9733	1853
840	9745	1842
841	9757	1831
842	9770	1819
843	9782	1808
844	9794	1796
845	9807	1785
846	9819	1773
847	9832	1762
848	9844	1750
849	9857	1739
850	9869	1728
851	9882	1716
852	9894	1705
853	9907	1693
854	9919	1682
855	9932	1670
856	9944	1659
857	9957	1647
858	9969	1636
859	9981	1624
860	9993	1613
861	10006	1601
862	10018	1590
863	10031	1579
864	10043	1567
865	10056	1556
866	10068	1544
867	10081	1533
868	10093	1521
869	10106	1510
870	10118	1498
871	10131	1487
872	10145	1475
873	10157	1464
874	10170	1452
875	10182	1441
876	10194	1429
877	10206	1418
878	10220	1406
879	10233	1395
880	10245	1383
881	10258	1372
882	10270	1360
883	10282	1349
884	10296	1337
885	10308	1326
886	10321	1314
887	10334	1303
888	10346	1291
889	10358	1280
890	10370	1268
891	10383	1257
892	10396	1245
893	10408	1234
894	10420	1222
895	10432	1210
896	10445	1199
897	10457	1187
898	10470	1176
899	10482	1164
900	10495	1153
901	10507	1141
902	10520	1130
903	10533	1118
904	10545	1106
905	10558	1095
906	10571	1083
907	10583	1072
908	10596	1060
909	10608	1049
910	10620	1037
911	10633	1026
912	10645	1014
913	10658	1002
914	10671	991
915	10684	979
916	10696	968
917	10709	956
918	10722	945
919	10735	933
920	10748	921
921	10760	910
922	10773	898
923	10785	887
924	10797	875
925	10810	863
926	10822	852
927	10835	840
928	10848	829
929	10860	817
930	10873	805
931	10885	794
932	10899	782
933	10911	771
934	10923	759
935	10935	747
936	10948	736
937	10961	724
938	10973	712
939	10986	701
940	10998	689
941	11011	677
942	11023	666
943	11035	654
944	11048	643
945	11060	631
946	11073	619
947	11085	608
948	11097	596
949	11110	584
950	11122	573
951	11135	561
952	11148	549
953	11161	538
954	11175	526
955	11189	515
956	11203	503
957	11218	491
958	11232	480
959	11245	468
960	11259	456
961	11273	445
962	11287	433
963	11300	421
964	11314	410
965	11327	398
966	11340	387
967	11354	375
968	11367	363
969	11381	352
970	11395	340
971	11408	328
972	11421	316
973	11434	305
974	11447	293
975	11460	281
976	11474	270
977	11488	258
978	11502	246
979	11515	235
980	11529	223
981	11543	211
982	11557	199
983	11570	188
984	11583	176
985	11597	164
986	11610	152
987	11624	141
988	11637	129
989	11650	117
990	11663	105
991	11676	94
992	11690	82
993	11703	70
994	11716	58
995	11730	47
996	11744	35
997	11757	23
998	11771	11
999	11784	0
